Date,Berri,Brebeuf,Cote-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,du Parc,Pierre-Dupuy,Rachel,Saint-Urbain
"01 01 2011",81,,5,62,110,41,0,85,
"02 01 2011",95,,21,79,169,68,6,124,
"03 01 2011",150,,30,115,329,205,3,242,
"04 01 2011",232,,34,163,441,250,0,205,
"05 01 2011",237,,26,168,415,250,1,184,
"06 01 2011",252,,20,168,429,261,1,242,
"07 01 2011",228,,19,163,390,222,1,215,
"08 01 2011",117,,5,70,145,82,0,148,
"09 01 2011",127,,5,62,144,102,0,121,
"10 01 2011",252,,8,190,441,215,2,190,
"11 01 2011",348,,6,190,488,259,4,243,
"12 01 2011",289,,6,199,466,237,0,249,
"13 01 2011",309,,6,191,489,266,0,269,
"14 01 2011",236,,2,175,464,229,3,246,
"15 01 2011",93,,0,47,139,53,1,90,
"16 01 2011",91,,1,49,101,61,2,2,
"17 01 2011",178,,2,109,322,179,1,8,
"18 01 2011",310,,1,181,368,208,3,8,
"19 01 2011",269,,0,107,395,178,0,2,
"20 01 2011",296,,0,109,409,211,2,4,
"21 01 2011",182,,2,103,312,145,3,5,
"22 01 2011",64,,0,44,102,50,3,0,
"23 01 2011",63,,12,31,76,35,3,0,
"24 01 2011",133,,8,69,261,138,2,7,
"25 01 2011",173,,8,101,325,162,2,34,
"26 01 2011",230,,2,143,336,151,0,50,
"27 01 2011",287,,4,158,423,210,3,115,
"28 01 2011",268,,5,152,431,217,1,101,
"29 01 2011",82,,3,36,99,51,3,6,
"30 01 2011",84,,0,50,103,47,1,0,
"31 01 2011",206,,3,97,361,181,1,7,
"01 02 2011",269,,0,145,398,182,3,6,
"02 02 2011",68,,0,35,89,59,1,1,
"03 02 2011",138,,0,82,276,108,0,0,
"04 02 2011",166,,0,114,356,119,0,0,
"05 02 2011",98,,0,48,178,69,0,0,
"06 02 2011",63,,1,41,76,55,1,0,
"07 02 2011",174,,0,92,350,175,1,0,
"08 02 2011",199,,0,74,284,118,0,0,
"09 02 2011",204,,0,106,320,107,0,0,
"10 02 2011",227,,15,123,374,142,0,0,
"11 02 2011",227,,7,138,366,155,0,85,
"12 02 2011",63,,5,48,74,44,0,15,
"13 02 2011",51,,0,38,93,45,0,1,
"14 02 2011",104,,0,44,241,89,0,3,
"15 02 2011",165,,2,96,317,129,0,8,
"16 02 2011",245,,9,117,354,123,0,56,
"17 02 2011",274,,20,152,437,192,0,144,
"18 02 2011",305,,114,179,518,229,0,214,
"19 02 2011",131,,32,85,139,48,0,96,
"20 02 2011",103,,28,78,146,55,0,128,
"21 02 2011",208,,35,130,301,148,0,149,
"22 02 2011",299,,60,159,358,183,1,210,
"23 02 2011",336,,91,174,388,192,1,264,
"24 02 2011",368,,108,207,455,205,0,295,
"25 02 2011",239,,37,121,274,107,0,123,
"26 02 2011",128,,2,78,131,49,1,27,
"27 02 2011",97,,0,70,117,41,2,30,
"28 02 2011",36,,1,60,184,77,0,10,
"01 03 2011",102,,0,51,333,158,1,3,
"02 03 2011",144,,9,33,378,165,3,3,
"03 03 2011",185,,5,26,373,178,0,0,
"04 03 2011",227,,2,28,417,200,1,0,
"05 03 2011",79,,0,25,100,58,0,0,
"06 03 2011",56,,0,16,26,32,0,1,
"07 03 2011",21,,0,19,51,30,0,0,
"08 03 2011",139,,0,84,307,115,0,20,
"09 03 2011",214,,6,119,397,155,1,45,
"10 03 2011",79,,1,32,99,41,0,1,
"11 03 2011",180,,2,91,309,82,0,0,
"12 03 2011",152,,0,72,243,88,2,0,
"13 03 2011",169,,0,63,231,84,4,2,
"14 03 2011",350,,9,200,661,247,3,11,
"15 03 2011",533,,42,310,868,370,8,28,
"16 03 2011",312,,75,204,551,245,2,71,
"17 03 2011",612,,209,377,1054,480,20,341,
"18 03 2011",559,,232,349,912,513,4,470,
"19 03 2011",418,,184,220,562,295,0,480,
"20 03 2011",499,,204,289,749,439,0,570,
"21 03 2011",255,,97,159,468,209,0,243,
"22 03 2011",388,,14,233,615,298,0,321,
"23 03 2011",544,,40,316,872,511,0,523,
"24 03 2011",401,,38,253,664,363,0,432,
"25 03 2011",535,,105,338,891,490,0,551,
"26 03 2011",328,,58,222,498,288,0,470,
"27 03 2011",246,,63,157,368,215,0,355,
"28 03 2011",483,,175,309,840,504,0,527,
"29 03 2011",764,,300,502,1153,708,0,820,
"30 03 2011",1034,,497,676,1553,966,0,1116,
"31 03 2011",1011,,582,757,1667,1021,0,1101,
"01 04 2011",755,,388,534,1185,784,840,797,
"02 04 2011",909,,392,482,1164,645,298,1120,
"03 04 2011",1099,,472,540,1213,707,471,1425,
"04 04 2011",600,,339,398,905,589,55,679,
"05 04 2011",729,,423,515,1109,689,54,831,
"06 04 2011",1544,,820,1015,2196,1211,215,1443,
"07 04 2011",1755,,964,1112,2448,1497,349,1725,
"08 04 2011",2083,,997,1357,2679,1548,471,2083,
"09 04 2011",1806,,788,917,1797,1038,802,2218,
"10 04 2011",1422,,673,676,1402,780,781,1854,
"11 04 2011",1111,,569,693,1533,985,102,1139,
"12 04 2011",2882,,1285,1846,3346,1948,630,2453,
"13 04 2011",1090,,552,706,1472,914,151,1120,
"14 04 2011",2136,,988,1357,2650,1450,400,2033,
"15 04 2011",2146,,847,1447,2645,1529,365,1973,
"16 04 2011",609,,273,387,742,404,157,742,
"17 04 2011",658,,289,443,873,465,134,794,
"18 04 2011",1747,,696,1129,2211,1361,224,1656,
"19 04 2011",1113,,1192,1850,3239,1895,762,2554,
"20 04 2011",0,,193,318,678,398,38,530,
"21 04 2011",0,,680,1197,2311,1259,150,1582,
"22 04 2011",0,,869,1456,2592,1236,1293,2519,
"23 04 2011",0,,223,358,867,378,36,815,
"24 04 2011",0,,690,819,1783,975,1252,1982,
"25 04 2011",0,,1065,1546,3020,1520,1948,3092,
"26 04 2011",0,,560,929,1976,1075,167,1356,
"27 04 2011",0,,881,1507,3005,1535,339,1984,
"28 04 2011",0,,753,1275,2635,1302,259,1730,
"29 04 2011",0,,1088,2012,3740,1871,681,2583,
"30 04 2011",0,,1300,1948,3621,1727,2181,3942,
"01 05 2011",0,,1415,2267,3964,2101,2912,4846,
"02 05 2011",0,,1050,2089,3675,1930,489,2537,
"03 05 2011",0,,808,1430,2418,1396,375,1804,
"04 05 2011",0,,551,949,1791,1031,173,1267,
"05 05 2011",0,,551,873,1626,975,130,1253,
"06 05 2011",0,,1280,2405,4163,2023,794,2996,
"07 05 2011",0,,1178,1792,3389,1504,1525,3269,
"08 05 2011",0,,1349,1627,3584,1876,2294,4059,
"09 05 2011",0,,2171,3508,6121,3222,1523,4691,
"10 05 2011",0,,2294,3839,6480,3242,1663,4935,
"11 05 2011",0,,2306,3215,6569,3418,1652,4742,
"12 05 2011",0,,2294,3918,6680,3524,1988,5058,
"13 05 2011",0,,1792,3499,5853,2951,1621,4374,
"14 05 2011",0,,256,419,900,449,92,945,
"15 05 2011",0,,370,531,1082,505,139,1033,
"16 05 2011",0,,340,516,1034,607,100,884,
"17 05 2011",0,,969,1677,3025,1548,321,1983,
"18 05 2011",0,,1277,2385,4071,2186,816,2775,
"19 05 2011",0,,1490,2743,4701,2434,903,3246,
"20 05 2011",0,,1643,3052,5762,2705,1546,3851,
"21 05 2011",0,,1496,2664,4996,2245,2929,5090,
"22 05 2011",0,,1072,1758,3503,1764,1840,3440,
"23 05 2011",0,,1148,1698,3322,1526,1344,3151,
"24 05 2011",0,,1891,3256,5685,2867,1265,3843,
"25 05 2011",0,,2586,4080,6958,3554,2194,5264,
"26 05 2011",0,,1324,2518,4397,2188,516,2634,
"27 05 2011",0,,595,1076,2043,1075,159,1537,
"28 05 2011",0,,605,1155,2074,872,392,1782,
"29 05 2011",0,,818,1493,2818,1298,793,2394,
"30 05 2011",4540,,2611,4201,7389,3923,2787,5166,
"31 05 2011",6857,,2714,4920,8197,4111,2973,4958,
"01 06 2011",6497,,2398,4493,7410,3633,1659,4714,
"02 06 2011",4827,,1969,3564,5903,2987,866,3681,
"03 06 2011",6927,,2469,4940,7502,4125,1816,7515,
"04 06 2011",5093,,1605,3224,5120,2466,2055,5468,
"05 06 2011",3495,,2150,2545,4933,3531,1347,5821,
"06 06 2011",6149,,2695,4439,7668,3919,1372,5381,
"07 06 2011",6932,,2890,5191,8332,4083,1110,5065,
"08 06 2011",5783,,2265,3934,6950,3510,785,4557,
"09 06 2011",5390,,2083,3748,6661,3327,661,4380,
"10 06 2011",6930,,2410,5039,7482,3964,1084,5246,
"11 06 2011",3105,,1272,2112,3486,1659,744,3388,
"12 06 2011",1141,,379,774,1412,749,258,1488,
"13 06 2011",2682,,1113,1968,3863,1982,274,2426,
"14 06 2011",6794,,2716,4743,7448,4099,1772,5201,
"15 06 2011",7275,,2776,5092,8044,3627,2396,5520,
"16 06 2011",7363,,2822,5186,8090,4337,2341,5248,
"17 06 2011",7399,,2402,5355,7641,3975,2114,5600,
"18 06 2011",5839,,1546,3566,4851,2506,2947,5613,
"19 06 2011",4655,,1604,2317,4457,2241,3862,5219,
"20 06 2011",6489,,2685,4418,7316,3793,2579,6212,
"21 06 2011",7173,,2853,4840,8219,4125,3049,6393,
"22 06 2011",6581,,2501,4441,7801,3898,2352,5175,
"23 06 2011",2865,,1146,2068,3910,2048,507,2375,
"24 06 2011",886,,413,681,1346,559,184,1452,
"25 06 2011",1755,,554,1414,2281,932,412,1646,
"26 06 2011",3662,,1154,2386,3668,1764,1827,3273,
"27 06 2011",7060,,2550,4750,7507,3972,3430,5742,
"28 06 2011",6462,,2245,4617,7116,3739,1869,4512,
"29 06 2011",4682,,1727,3066,5570,2939,863,3949,
"30 06 2011",4310,,1538,3054,5184,2815,987,3779,
