Date,Berri,Brebeuf,Cote-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,du Parc,Pierre-Dupuy,Rachel,Saint-Urbain
"01 07 2011",5610,,1471,3028,4512,2121,3773,4840,
"02 07 2011",5767,,1345,3433,4974,2280,4044,5018,
"03 07 2011",3816,,1221,2382,4201,1966,2338,4312,
"04 07 2011",7056,,2431,4941,7804,3932,2627,6038,
"05 07 2011",6570,,2592,4357,7970,3935,2677,5949,
"06 07 2011",5054,,1927,3430,5938,3113,1139,4187,
"07 07 2011",6972,,2627,4800,7917,3750,2946,5524,
"08 07 2011",6158,,2105,4166,7166,3345,2532,5037,
"09 07 2011",4691,,1484,2755,4614,1912,3948,4212,
"10 07 2011",4107,,1492,2115,4119,1973,3648,4164,
"11 07 2011",4862,,1909,3236,6163,3066,1525,3684,
"12 07 2011",5960,,2337,3898,7051,3431,2170,4804,
"13 07 2011",6514,,2334,4483,7224,3662,2256,4911,
"14 07 2011",6839,,2458,4655,7881,3720,2724,5445,
"15 07 2011",6294,,2125,4401,7212,3477,2544,5298,
"16 07 2011",4771,,1319,3207,5051,2069,3771,4637,
"17 07 2011",3636,,1139,2099,4171,1788,2978,4072,
"18 07 2011",4456,,1802,3057,5924,2972,1321,3924,
"19 07 2011",6685,,2561,4281,7793,3963,3093,5475,
"20 07 2011",6269,,2248,4139,7502,3679,2579,5182,
"21 07 2011",4467,,1602,3165,6271,2743,1217,3774,
"22 07 2011",5234,,1612,3782,6237,2757,1797,4326,
"23 07 2011",4225,,1207,2436,4620,1786,2945,4275,
"24 07 2011",4681,,1324,2358,4555,2220,4006,4686,
"25 07 2011",4293,,1753,2981,5877,3002,1675,3678,
"26 07 2011",304,,1819,2719,6076,2981,1175,4207,
"27 07 2011",34,,2303,3872,7511,3623,3041,5455,
"28 07 2011",4,,2156,3517,7576,3562,2619,5364,
"29 07 2011",31,,1610,2818,6020,2676,1553,4365,
"30 07 2011",46,,1349,2383,4733,1969,3738,4373,
"31 07 2011",112,,1290,1754,4631,2056,3682,4593,
"01 08 2011",54,,1579,2201,4954,2499,1276,3681,
"02 08 2011",4777,,1977,3234,6606,3195,2059,4768,
"03 08 2011",5445,,2368,3843,7374,3754,2479,5582,
"04 08 2011",5364,,2225,3735,7262,3396,2060,5379,
"05 08 2011",5588,,1921,3792,6903,3018,2706,5692,
"06 08 2011",3978,,1309,2435,4629,1765,2926,4433,
"07 08 2011",2488,,988,1480,3125,1370,1580,3134,
"08 08 2011",4730,,2113,3271,6369,3187,1972,5427,
"09 08 2011",4802,,2009,3547,6224,3160,2487,5009,
"10 08 2011",3380,,1396,2515,4781,2332,888,3391,
"11 08 2011",4903,,1926,3420,6264,3085,1500,4650,
"12 08 2011",5133,,1705,3504,6249,2920,2170,5163,
"13 08 2011",4301,,1369,2738,4367,1894,3423,4439,
"14 08 2011",3428,,1089,2265,3761,1528,1832,3646,
"15 08 2011",4437,,1844,3003,5558,2896,1150,4371,
"16 08 2011",5410,,2309,3861,6680,3304,1504,5237,
"17 08 2011",6093,,2608,4164,7528,3665,1980,5894,
"18 08 2011",4787,,1877,3325,6079,2989,1017,4800,
"19 08 2011",5624,,2090,3523,6400,2931,1166,5648,
"20 08 2011",4044,,1281,2334,4271,1770,1492,4415,
"21 08 2011",1201,,450,776,1473,646,151,1471,
"22 08 2011",4378,,1931,3145,5349,2852,743,4088,
"23 08 2011",6042,,2436,4039,6851,3459,2147,5363,
"24 08 2011",5525,,2319,3926,6755,3538,1920,5405,
"25 08 2011",3521,,1425,2491,4492,2421,617,3554,
"26 08 2011",5410,,2237,3881,6588,3327,2108,5410,
"27 08 2011",4490,,1503,2597,4620,1957,3190,5012,
"28 08 2011",558,,260,322,898,389,108,922,
"29 08 2011",4993,,2501,3374,6198,3474,1632,4658,
"30 08 2011",5225,,2583,3646,6612,3568,1530,5031,
"31 08 2011",5911,,2903,4061,7548,4057,2243,5936,
"01 09 2011",5352,,2923,3929,7267,4245,1797,5658,
"02 09 2011",5293,,2635,3823,6885,3809,2104,5705,
"03 09 2011",3311,,1319,2184,4130,1702,2171,4067,
"04 09 2011",1946,,749,1341,2697,1234,888,2324,
"05 09 2011",906,,485,612,1373,639,270,1535,
"06 09 2011",5599,,2643,3719,7062,3868,1299,4834,
"07 09 2011",4747,,2390,3324,6525,3546,897,4192,
"08 09 2011",6287,,3140,4556,8183,4252,1821,5453,
"09 09 2011",6578,,2638,4568,7657,3951,2142,5862,
"10 09 2011",4612,,2050,2833,4637,1979,2740,4688,
"11 09 2011",3960,,1970,2172,4334,3182,2960,4958,
"12 09 2011",5298,,2401,3533,6837,3654,1437,4385,
"13 09 2011",4732,,2163,3222,5830,3375,854,4137,
"14 09 2011",6057,,2700,4078,7311,4174,1600,4953,
"15 09 2011",2430,,1214,1752,3664,2060,309,2475,
"16 09 2011",4760,,2117,3311,6141,3283,1070,4397,
"17 09 2011",3563,,1274,2030,3739,1774,2011,3792,
"18 09 2011",4179,,1302,1815,3555,1943,2922,4035,
"19 09 2011",5435,,2110,3538,6953,3933,1513,5116,
"20 09 2011",3735,,825,2432,5001,2888,491,3441,
"21 09 2011",6215,,1927,3890,7644,4494,1785,5502,
"22 09 2011",5145,,1057,3991,6263,3626,672,4213,
"23 09 2011",5497,,1070,3635,7088,3934,1769,5386,
"24 09 2011",3186,,479,2052,4136,2034,1201,3675,
"25 09 2011",3458,,522,1862,3767,1894,2005,4330,
"26 09 2011",5877,,1188,3866,7241,4457,1723,4975,
"27 09 2011",6444,,1236,4161,7777,4577,1872,5035,
"28 09 2011",5359,,1067,3523,6965,3812,1102,4327,
"29 09 2011",2742,,518,1857,3667,2308,305,2222,
"30 09 2011",4213,,774,3042,5679,3282,782,3876,
"01 10 2011",1056,,197,637,1598,790,160,1600,
"02 10 2011",511,,140,350,754,403,55,780,
"03 10 2011",1003,,467,1584,3039,2137,276,905,
"04 10 2011",0,,669,2417,4689,2849,490,0,
"05 10 2011",0,,953,3287,6030,3612,989,0,
"06 10 2011",0,,878,3171,5682,3401,796,0,
"07 10 2011",0,,730,3000,5257,2954,1033,0,
"08 10 2011",0,,407,1809,3122,1480,1735,0,
"09 10 2011",0,,534,1633,2974,1431,2192,0,
"10 10 2011",0,,523,1577,2820,1539,2672,0,
"11 10 2011",0,,934,3376,6021,3707,1235,0,
"12 10 2011",0,,917,2986,6004,3634,884,0,
"13 10 2011",0,,604,2582,5057,2919,488,0,
"14 10 2011",0,,259,1008,2090,1266,147,0,
"15 10 2011",0,,180,1025,1795,937,122,0,
"16 10 2011",0,,250,968,1790,1006,297,0,
"17 10 2011",0,,215,2095,4077,2626,369,0,
"18 10 2011",0,,67,2553,4836,2852,489,0,
"19 10 2011",0,,0,2700,5075,2964,600,0,
"20 10 2011",0,,0,1536,3050,2006,188,0,
"21 10 2011",0,,0,1761,3366,2106,221,0,
"22 10 2011",0,,0,1303,2279,1130,352,0,
"23 10 2011",0,,0,1068,1968,1225,541,0,
"24 10 2011",0,,0,2150,4337,2805,594,0,
"25 10 2011",0,,0,2337,4503,2695,502,0,
"26 10 2011",0,,0,2251,4716,2800,564,0,
"27 10 2011",0,,0,2013,4342,2581,379,0,
"28 10 2011",0,,0,1828,3716,2202,426,0,
"29 10 2011",0,,0,922,1825,973,371,0,
"30 10 2011",0,,0,805,1741,938,482,0,
"31 10 2011",0,,0,2012,3989,2590,447,0,
"01 11 2011",0,,0,2289,4410,2750,484,0,
"02 11 2011",0,,0,2471,4658,2943,571,0,
"03 11 2011",0,,0,1684,3513,531,184,0,
"04 11 2011",,,,,,,,,
"05 11 2011",,,,,,,,,
"06 11 2011",,,,,,,,,
"07 11 2011",,,,,,,,,
"08 11 2011",,,,,,,,,
"09 11 2011",,,,,,,,,
"10 11 2011",,,,,,,,,
"11 11 2011",,,,,,,,,
"12 11 2011",,,,,,,,,
"13 11 2011",,,,,,,,,
"14 11 2011",,,,,,,,,
"15 11 2011",,,,,,,,,
"16 11 2011",,,,,,,,,
"17 11 2011",,,,,,,,,
"18 11 2011",,,,,,,,,
"19 11 2011",,,,,,,,,
"20 11 2011",,,,,,,,,
"21 11 2011",,,,,,,,,
"22 11 2011",,,,,,,,,
"23 11 2011",,,,,,,,,
"24 11 2011",,,,,,,,,
"25 11 2011",,,,,,,,,
"26 11 2011",,,,,,,,,
"27 11 2011",,,,,,,,,
"28 11 2011",,,,,,,,,
"29 11 2011",,,,,,,,,
"30 11 2011",,,,,,,,,
"01 12 2011",,,,,,,,,
"02 12 2011",,,,,,,,,
"03 12 2011",,,,,,,,,
"04 12 2011",,,,,,,,,
"05 12 2011",,,,,,,,,
"06 12 2011",,,,,,,,,
"07 12 2011",,,,,,,,,
"08 12 2011",,,,,,,,,
"09 12 2011",,,,,,,,,
"10 12 2011",,,,,,,,,
"11 12 2011",,,,,,,,,
"12 12 2011",,,,,,,,,
"13 12 2011",,,,,,,,,
"14 12 2011",,,,,,,,,
"15 12 2011",,,,,,,,,
"16 12 2011",,,,,,,,,
"17 12 2011",,,,,,,,,
"18 12 2011",,,,,,,,,
"19 12 2011",,,,,,,,,
"20 12 2011",,,,,,,,,
"21 12 2011",,,,,,,,,
"22 12 2011",,,,,,,,,
"23 12 2011",,,,,,,,,
"24 12 2011",,,,,,,,,
"25 12 2011",,,,,,,,,
"26 12 2011",,,,,,,,,
"27 12 2011",,,,,,,,,
"28 12 2011",,,,,,,,,
"29 12 2011",,,,,,,,,
"30 12 2011",,,,,,,,,
"31 12 2011",,,,,,,,,
