Date,Berri,Brebeuf,Cote-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,du Parc,Pierre-Dupuy,Rachel,Saint-Urbain
25 04 2010,3 092,0,0,1 356,2 651,0,0,0,1 899
26 04 2010,3 921,0,0,2 339,4 520,0,0,0,2 811
27 04 2010,527,0,0,336,752,0,0,0,3 856
28 04 2010,1 400,0,0,1 033,2 149,0,0,0,1 609
29 04 2010,3 355,0,0,2 283,4 221,0,0,0,3 121
30 04 2010,4 143,0,0,2 606,4 798,0,0,0,2 887
01 05 2010,2 433,0,0,1 378,2 391,0,0,0,2 209
02 05 2010,2 677,0,0,1 423,2 647,0,0,0,1 827
03 05 2010,2 794,0,0,1 839,3 480,0,0,0,2 221
04 05 2010,3 750,0,0,2 494,4 524,0,0,0,2 502
05 05 2010,5 333,0,0,3 242,5 595,0,0,0,2 891
06 05 2010,3 354,0,0,2 265,4 349,0,0,0,2 604
07 05 2010,4 276,0,0,2 783,4 920,0,0,0,3 003
08 05 2010,702,0,0,488,962,0,0,0,2 143
09 05 2010,545,0,0,277,637,0,0,0,1 335
10 05 2010,3 110,0,0,2 149,4 012,0,0,0,2 587
11 05 2010,4 423,0,0,2 936,5 182,0,0,0,2 875
12 05 2010,4 596,0,0,3 163,5 553,0,0,0,3 005
13 05 2010,5 069,0,0,3 273,5 641,0,0,0,3 026
14 05 2010,2 916,0,0,2 114,3 746,0,0,0,2 766
15 05 2010,1 605,0,0,1 063,1 909,0,0,0,2 058
16 05 2010,4 726,0,0,1 904,3 519,0,0,0,2 081
17 05 2010,5 936,0,0,3 442,6 213,0,0,0,2 750
18 05 2010,6 322,0,0,3 776,6 669,0,0,0,3 046
19 05 2010,5 770,0,0,3 525,6 289,0,0,0,3 029
20 05 2010,5 356,0,0,3 482,6 175,0,0,0,2 770
21 05 2010,5 748,0,0,3 547,5 882,0,0,0,2 576
22 05 2010,3 169,0,0,1 859,3 343,0,0,0,1 681
23 05 2010,4 821,0,0,2 088,3 880,0,0,0,1 861
24 05 2010,4 364,0,0,1 997,3 768,0,0,0,1 606
25 05 2010,6 430,0,0,3 778,6 449,0,0,0,3 060
26 05 2010,5 673,0,0,3 570,6 368,0,0,0,3 085
27 05 2010,5 988,0,0,3 986,6 860,0,0,0,3 122
28 05 2010,6 181,0,0,3 934,6 947,0,0,0,2 770
29 05 2010,4 599,0,0,2 430,4 542,0,0,0,2 050
