Date,Berri,Brebeuf,Cote-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,du Parc,Pierre-Dupuy,Rachel,Saint-Urbain
"01 01 2009",29,0,0,0,0,0,0,0,98
"02 01 2009",19,0,0,0,0,0,0,0,220
"03 01 2009",24,0,0,0,0,0,0,0,170
"04 01 2009",24,0,0,0,0,0,0,0,114
"05 01 2009",120,0,0,0,0,0,0,0,216
"06 01 2009",261,0,0,0,0,0,0,0,219
"07 01 2009",60,0,0,0,0,0,0,0,191
"08 01 2009",24,0,0,0,0,0,0,0,65
"09 01 2009",35,0,0,0,0,0,0,0,170
"10 01 2009",81,0,0,0,0,0,0,0,555
"11 01 2009",318,0,0,0,0,0,0,0,612
"12 01 2009",105,0,0,0,0,0,0,0,837
"13 01 2009",168,0,0,0,0,0,0,0,421
"14 01 2009",145,0,0,0,0,0,0,0,824
"15 01 2009",131,0,0,0,0,0,0,0,312
"16 01 2009",93,0,0,0,0,0,0,0,380
"17 01 2009",25,0,0,0,0,0,0,0,630
"18 01 2009",52,0,0,0,0,0,0,0,563
"19 01 2009",136,0,0,0,0,0,0,0,267
"20 01 2009",147,0,0,0,0,0,0,0,301
"21 01 2009",109,0,0,0,0,0,0,0,243
"22 01 2009",172,0,0,0,0,0,0,0,389
"23 01 2009",148,0,0,0,0,0,0,0,346
"24 01 2009",15,0,0,0,0,0,0,0,633
"25 01 2009",35,0,0,0,0,0,0,0,276
"26 01 2009",93,0,0,0,0,0,0,0,240
"27 01 2009",209,0,0,0,0,0,0,0,419
"28 01 2009",92,0,0,0,0,0,0,0,469
"29 01 2009",110,0,0,0,0,0,0,0,64
"30 01 2009",105,0,0,0,0,0,0,0,312
"31 01 2009",25,0,0,0,0,0,0,0,579
"01 02 2009",14,0,0,0,0,0,0,0,775
"02 02 2009",158,0,0,0,0,0,0,0,759
"03 02 2009",179,0,0,0,0,0,0,0,927
"04 02 2009",122,0,0,0,0,0,0,0,534
"05 02 2009",95,0,0,0,0,0,0,0,487
"06 02 2009",185,0,0,0,0,0,0,0,737
"07 02 2009",95,0,0,0,0,0,0,0,843
"08 02 2009",82,0,0,0,0,0,0,0,621
"09 02 2009",190,0,0,0,0,0,0,0,552
"10 02 2009",228,0,0,0,0,0,0,0,604
"11 02 2009",306,0,0,0,0,0,0,0,774
"12 02 2009",188,0,0,0,0,0,0,0,972
"13 02 2009",209,0,0,0,0,0,0,0,638
"14 02 2009",98,0,0,0,0,0,0,0,714
"15 02 2009",139,0,0,0,0,0,0,0,577
"16 02 2009",258,0,0,0,0,0,0,0,561
"17 02 2009",304,0,0,0,0,0,0,0,614
"18 02 2009",326,0,0,0,0,0,0,0,554
"19 02 2009",134,0,0,0,0,0,0,0,447
"20 02 2009",125,0,0,0,0,0,0,0,305
"21 02 2009",96,0,0,0,0,0,0,0,375
"22 02 2009",65,0,0,0,0,0,0,0,592
"23 02 2009",123,0,0,0,0,0,0,0,475
"24 02 2009",129,0,0,0,0,0,0,0,724
"25 02 2009",154,0,0,0,0,0,0,0,1048
"26 02 2009",239,0,0,0,0,0,0,0,728
"27 02 2009",198,0,0,0,0,0,0,0,1296
"28 02 2009",32,0,0,0,0,0,0,0,1298
"01 03 2009",67,0,0,0,0,0,0,0,1087
"02 03 2009",105,0,0,0,0,0,0,0,882
"03 03 2009",157,0,0,0,0,0,0,0,1471
"04 03 2009",164,0,0,0,0,0,0,0,1228
"05 03 2009",300,0,0,0,0,0,0,0,1427
"06 03 2009",176,0,0,0,0,0,0,0,1276
"07 03 2009",195,0,0,0,0,0,0,0,1131
"08 03 2009",310,0,0,0,0,0,0,0,1166
"09 03 2009",7,0,0,0,0,0,0,0,813
"10 03 2009",366,0,0,0,0,0,0,0,2038
"11 03 2009",234,0,0,0,0,0,0,0,2314
"12 03 2009",132,0,0,0,0,0,0,0,1620
"13 03 2009",203,0,0,0,0,0,0,0,1383
"14 03 2009",298,0,0,0,0,0,0,0,1550
"15 03 2009",541,0,0,0,0,0,0,0,1308
"16 03 2009",525,0,0,0,0,0,0,0,1512
"17 03 2009",871,0,0,0,0,0,0,0,1865
"18 03 2009",592,0,0,0,0,0,0,0,2521
"19 03 2009",455,0,0,0,0,0,0,0,2403
"20 03 2009",446,0,0,0,0,0,0,0,1561
"21 03 2009",441,0,0,0,0,0,0,0,1615
"22 03 2009",266,0,0,0,0,0,0,0,1245
"23 03 2009",189,0,0,0,0,0,0,0,1758
"24 03 2009",343,0,0,0,0,0,0,0,2022
"25 03 2009",292,0,0,0,0,0,0,0,2266
"26 03 2009",355,0,0,0,0,0,0,0,1746
"27 03 2009",245,0,0,0,0,0,0,0,1752
"28 03 2009",136,0,0,0,0,0,0,0,1801
"29 03 2009",0,0,0,0,0,0,0,0,1633
"30 03 2009",0,0,0,0,0,0,0,0,1756
"31 03 2009",0,0,0,0,0,0,0,0,1419
"01 04 2009",0,0,0,0,0,0,0,0,1562
"02 04 2009",,0,0,0,0,0,0,0,2029
"03 04 2009",0,0,0,0,0,0,0,0,1676
"04 04 2009",0,0,0,0,0,0,0,0,1896
"05 04 2009",0,0,0,0,0,0,0,0,1330
