,Berri,Brebeuf,Cote-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,Pierre-Dupuy,Rachel,Saint-Urbain,Totem-Laurier,du Parc
Berri,1.000,0.528,,0.175,0.389,,,0.326,,
Brebeuf,0.528,1.000,,0.021,0.745,,,0.713,,
Cote-Sainte-Catherine,,,,,,,,,,
Maisonneuve 1,0.175,0.021,,1.000,0.093,,,0.086,,
Maisonneuve 2,0.389,0.745,,0.093,1.000,,,0.698,,
Pierre-Dupuy,,,,,,,,,,
Rachel,,,,,,,,,,
Saint-Urbain,0.326,0.713,,0.086,0.698,,,1.000,,
Totem-Laurier,,,,,,,,,,
du Parc,,,,,,,,,,
