,Berri,Brebeuf,Cote-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,Pierre-Dupuy,Rachel,Saint-Urbain,Totem-Laurier,du Parc
Berri,1.000,0.124,0.716,0.353,0.231,0.633,0.291,0.125,,0.881
Brebeuf,0.124,1.000,0.875,0.824,0.884,0.515,0.877,0.417,,0.822
Cote-Sainte-Catherine,0.716,0.875,1.000,0.825,0.777,0.753,0.825,0.649,,0.839
Maisonneuve 1,0.353,0.824,0.825,1.000,0.928,0.619,0.463,0.560,,0.913
Maisonneuve 2,0.231,0.884,0.777,0.928,1.000,0.594,0.322,0.426,,0.954
Pierre-Dupuy,0.633,0.515,0.753,0.619,0.594,1.000,0.637,-0.015,,0.610
Rachel,0.291,0.877,0.825,0.463,0.322,0.637,1.000,0.460,,0.378
Saint-Urbain,0.125,0.417,0.649,0.560,0.426,-0.015,0.460,1.000,,0.703
Totem-Laurier,,,,,,,,,,
du Parc,0.881,0.822,0.839,0.913,0.954,0.610,0.378,0.703,,1.000
