,Berri,Brebeuf,Cote-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,Pierre-Dupuy,Rachel,Saint-Urbain,Totem-Laurier,du Parc
Berri,1.000,,0.514,0.950,0.608,0.567,0.835,,0.890,0.894
Brebeuf,,,,,,,,,,
Cote-Sainte-Catherine,0.514,,1.000,0.510,0.290,0.548,0.285,,0.393,0.486
Maisonneuve 1,0.950,,0.510,1.000,0.629,0.494,0.616,,0.860,0.709
Maisonneuve 2,0.608,,0.290,0.629,1.000,0.425,0.530,,0.914,0.625
Pierre-Dupuy,0.567,,0.548,0.494,0.425,1.000,0.424,,0.575,0.357
Rachel,0.835,,0.285,0.616,0.530,0.424,1.000,,0.812,0.814
Saint-Urbain,,,,,,,,,,
Totem-Laurier,0.890,,0.393,0.860,0.914,0.575,0.812,,1.000,0.893
du Parc,0.894,,0.486,0.709,0.625,0.357,0.814,,0.893,1.000
